attack,accuracy,f1_score,f1_real,f1_fake,precision,recall,mcc,true_negatives,false_positives,false_negatives,true_positives,specificity,sensitivity,balanced_accuracy,model,epsilon
Clean,0.9992,0.9991992615505475,0.9967741935483871,0.9995433789954338,0.9991998310491741,0.9992,0.9963205772613486,927,5,1,6567,0.9946351931330472,0.9998477466504263,0.9972414698917367,Adam_AdvTrain_FGSM,0.0
FGSM_ε0.01,0.6550666666666667,0.7137036814769522,0.3818399044205496,0.760795191863153,0.8788309804021202,0.6550666666666667,0.3219491627877731,799,133,2454,4114,0.8572961373390557,0.6263702801461632,0.7418332087426095,Adam_AdvTrain_FGSM,0.01
FGSM_ε0.03,0.9957333333333334,0.9957012541541314,0.982532751091703,0.9975698663426489,0.9957540202020202,0.9957333333333334,0.9802975174842573,900,32,0,6568,0.9656652360515021,1.0,0.9828326180257511,Adam_AdvTrain_FGSM,0.03
FGSM_ε0.05,0.9813333333333333,0.9806738292523279,0.9187935034802784,0.9894546550165713,0.9817229179089645,0.9813333333333333,0.912167678921632,792,140,0,6568,0.8497854077253219,1.0,0.9248927038626609,Adam_AdvTrain_FGSM,0.05
FGSM_ε0.07,0.9813333333333333,0.9806738292523279,0.9187935034802784,0.9894546550165713,0.9817229179089645,0.9813333333333333,0.912167678921632,792,140,0,6568,0.8497854077253219,1.0,0.9248927038626609,Adam_AdvTrain_FGSM,0.07
FGSM_ε0.1,0.9814666666666667,0.9808169908567375,0.9194202898550725,0.9895291902071564,0.9818507628845485,0.9814666666666667,0.9128114022441038,793,139,0,6568,0.8508583690987125,1.0,0.9254291845493563,Adam_AdvTrain_FGSM,0.1
PGD_ε0.01,0.11066666666666666,0.03533619425135481,0.19053398058252427,0.013313609467455622,0.21859829410691478,0.11066666666666666,-0.31512932715575953,785,147,6523,45,0.842274678111588,0.006851400730816078,0.424563039421202,Adam_AdvTrain_FGSM,0.01
PGD_ε0.03,0.10626666666666666,0.026941953769613558,0.18957804376738,0.003863872789418933,0.08398636558932299,0.10626666666666666,-0.35693718810588226,784,148,6555,13,0.8412017167381974,0.001979293544457978,0.42159050514132773,Adam_AdvTrain_FGSM,0.03
PGD_ε0.05,0.10626666666666666,0.026941953769613558,0.18957804376738,0.003863872789418933,0.08398636558932299,0.10626666666666666,-0.35693718810588226,784,148,6555,13,0.8412017167381974,0.001979293544457978,0.42159050514132773,Adam_AdvTrain_FGSM,0.05
PGD_ε0.07,0.10626666666666666,0.026941953769613558,0.18957804376738,0.003863872789418933,0.08398636558932299,0.10626666666666666,-0.35693718810588226,784,148,6555,13,0.8412017167381974,0.001979293544457978,0.42159050514132773,Adam_AdvTrain_FGSM,0.07
PGD_ε0.1,0.10626666666666666,0.026941953769613558,0.18957804376738,0.003863872789418933,0.08398636558932299,0.10626666666666666,-0.35693718810588226,784,148,6555,13,0.8412017167381974,0.001979293544457978,0.42159050514132773,Adam_AdvTrain_FGSM,0.1
