attack,accuracy,f1_score,f1_real,f1_fake,precision,recall,mcc,true_negatives,false_positives,false_negatives,true_positives,specificity,sensitivity,balanced_accuracy,model,epsilon
Clean,0.9969333333333333,0.9969168571192183,0.9875067897881586,0.9982521468196671,0.9969440347949223,0.9969333333333333,0.9858592182883128,909,23,0,6568,0.9753218884120172,1.0,0.9876609442060086,Adam_AdvTrain_PGD,0.0
FGSM_ε0.01,0.9709333333333333,0.9692457577267993,0.8675577156743621,0.9836753032799161,0.9718670989291679,0.9709333333333333,0.8610944579791456,714,218,0,6568,0.7660944206008584,1.0,0.8830472103004292,Adam_AdvTrain_PGD,0.01
FGSM_ε0.03,0.9704,0.9686449905433778,0.8647990255785627,0.9833807456206018,0.9713677761413844,0.9704,0.8584260791291929,710,222,0,6568,0.7618025751072961,1.0,0.880901287553648,Adam_AdvTrain_PGD,0.03
FGSM_ε0.05,0.9701333333333333,0.9683440377781023,0.8634146341463415,0.9832335329341317,0.9711183352964272,0.9701333333333333,0.8570899566912407,708,224,0,6568,0.759656652360515,1.0,0.8798283261802575,Adam_AdvTrain_PGD,0.05
FGSM_ε0.07,0.9701333333333333,0.9683440377781023,0.8634146341463415,0.9832335329341317,0.9711183352964272,0.9701333333333333,0.8570899566912407,708,224,0,6568,0.759656652360515,1.0,0.8798283261802575,Adam_AdvTrain_PGD,0.07
FGSM_ε0.1,0.97,0.9682120017686247,0.8628884826325411,0.9831574219627217,0.9709388120301096,0.97,0.8563766928535991,708,224,1,6567,0.759656652360515,0.9998477466504263,0.8797521995054707,Adam_AdvTrain_PGD,0.1
PGD_ε0.01,0.9696,0.9677975578553609,0.8611449451887941,0.9829315765833209,0.9704557837748139,0.9696,0.8542842333081384,707,225,3,6565,0.7585836909871244,0.9995432399512789,0.8790634654692017,Adam_AdvTrain_PGD,0.01
PGD_ε0.03,0.97,0.9681934184249196,0.8627211714460037,0.9831599431180301,0.9709936699543648,0.97,0.856421409276389,707,225,0,6568,0.7585836909871244,1.0,0.8792918454935622,Adam_AdvTrain_PGD,0.03
PGD_ε0.05,0.97,0.9681934184249196,0.8627211714460037,0.9831599431180301,0.9709936699543648,0.97,0.856421409276389,707,225,0,6568,0.7585836909871244,1.0,0.8792918454935622,Adam_AdvTrain_PGD,0.05
PGD_ε0.07,0.97,0.9681934184249196,0.8627211714460037,0.9831599431180301,0.9709936699543648,0.97,0.856421409276389,707,225,0,6568,0.7585836909871244,1.0,0.8792918454935622,Adam_AdvTrain_PGD,0.07
PGD_ε0.1,0.97,0.9681934184249196,0.8627211714460037,0.9831599431180301,0.9709936699543648,0.97,0.856421409276389,707,225,0,6568,0.7585836909871244,1.0,0.8792918454935622,Adam_AdvTrain_PGD,0.1
