attack,accuracy,f1_score,f1_real,f1_fake,precision,recall,mcc,true_negatives,false_positives,false_negatives,true_positives,specificity,sensitivity,balanced_accuracy,model,epsilon
Clean,0.9529333333333333,0.9480513280906697,0.7663798808735937,0.973830528578842,0.9553339305495352,0.9529333333333333,0.7678271652478844,579,353,0,6568,0.621244635193133,1.0,0.8106223175965666,Adam_Baseline,0.0
FGSM_ε0.01,0.776,0.8055642442897745,0.4092827004219409,0.861796643632774,0.8587084038420645,0.776,0.31939670052070696,582,350,1330,5238,0.6244635193133047,0.7975030450669914,0.7109832821901481,Adam_Baseline,0.01
FGSM_ε0.03,0.8042666666666667,0.8349437193638559,0.5570307785153893,0.8743795995207941,0.922345385887185,0.8042666666666667,0.5443535257144193,923,9,1459,5109,0.990343347639485,0.7778623629719854,0.8841028553057352,Adam_Baseline,0.03
FGSM_ε0.05,0.8045333333333333,0.835154195227278,0.5573671497584541,0.8745722108145106,0.9223864513305323,0.8045333333333333,0.544691646650641,923,9,1457,5111,0.990343347639485,0.7781668696711328,0.8842551086553089,Adam_Baseline,0.05
FGSM_ε0.07,0.8492,0.8688540296945372,0.5990783410138248,0.9071352327777321,0.9177426514261152,0.8492,0.5682189539845368,845,87,1044,5524,0.9066523605150214,0.841047503045067,0.8738499317800442,Adam_Baseline,0.07
FGSM_ε0.1,0.9062666666666667,0.8839935519587145,0.42612244897959184,0.9489655172413793,0.9048940017708103,0.9062666666666667,0.46850671645919423,261,671,32,6536,0.2800429184549356,0.9951278928136419,0.6375854056342888,Adam_Baseline,0.1
PGD_ε0.01,0.7286666666666667,0.7624988928119285,0.2591918456497998,0.8339182241083816,0.811378746932021,0.7286666666666667,0.12311110918365695,356,576,1459,5109,0.38197424892703863,0.7778623629719854,0.579918305949512,Adam_Baseline,0.01
PGD_ε0.03,0.7377333333333334,0.7717999713611913,0.30124333925399643,0.838572014772261,0.8245136894539069,0.7377333333333334,0.17710318589663782,424,508,1459,5109,0.45493562231759654,0.7778623629719854,0.616398992644791,Adam_Baseline,0.03
PGD_ε0.05,0.7422666666666666,0.7763740726392689,0.32151632151632153,0.8409184429265081,0.8310722228061919,0.7422666666666666,0.20364868714212242,458,474,1459,5109,0.49141630901287553,0.7778623629719854,0.6346393359924305,Adam_Baseline,0.05
PGD_ε0.07,0.7424,0.7764353011498836,0.32115249472944485,0.8410399868356097,0.8309369898847732,0.7424,0.20317202625777278,457,475,1457,5111,0.490343347639485,0.7781668696711328,0.6342551086553089,Adam_Baseline,0.07
PGD_ε0.1,0.742,0.7760334016629828,0.3193809356313753,0.840832442214362,0.8303583931170773,0.742,0.20083999048789733,454,478,1457,5111,0.4871244635193133,0.7781668696711328,0.632645666595223,Adam_Baseline,0.1
