attack,accuracy,f1_score,f1_real,f1_fake,precision,recall,mcc,true_negatives,false_positives,false_negatives,true_positives,specificity,sensitivity,balanced_accuracy,model,epsilon
Clean,0.9986666666666667,0.9986654359175791,0.9946236559139785,0.9992389649923896,0.9986655105952805,0.9986666666666667,0.9938656198332833,925,7,3,6565,0.9924892703862661,0.9995432399512789,0.9960162551687726,RMSprop_AdvTrain_FGSM,0.0
FGSM_ε0.01,0.5873333333333334,0.6525774736388881,0.3751261861498082,0.6919478451278989,0.9036883785630851,0.5873333333333334,0.3479584451203479,929,3,3092,3476,0.9967811158798283,0.5292326431181485,0.7630068794989884,RMSprop_AdvTrain_FGSM,0.01
FGSM_ε0.03,0.9973333333333333,0.9973442561772196,0.9893730074388948,0.9984753773441073,0.9973809669211195,0.9973333333333333,0.9879076243207785,931,1,19,6549,0.9989270386266095,0.9971071863580999,0.9980171124923547,RMSprop_AdvTrain_FGSM,0.03
FGSM_ε0.05,0.9970666666666667,0.9970516017222567,0.988056460369164,0.9983280133758929,0.99707645928174,0.9970666666666667,0.9864761839578379,910,22,0,6568,0.9763948497854077,1.0,0.9881974248927039,RMSprop_AdvTrain_FGSM,0.05
FGSM_ε0.07,0.9968,0.9967835655151892,0.9869706840390879,0.9981760145918832,0.9968070142907169,0.9968,0.9852383188208962,909,23,1,6567,0.9753218884120172,0.9998477466504263,0.9875848175312217,RMSprop_AdvTrain_FGSM,0.07
FGSM_ε0.1,0.9966666666666667,0.9966503360716501,0.9864351600651112,0.9980998707912138,0.9966702934410916,0.9966666666666667,0.9846183922385607,909,23,2,6566,0.9753218884120172,0.9996954933008526,0.9875086908564349,RMSprop_AdvTrain_FGSM,0.1
PGD_ε0.01,0.16666666666666666,0.11046572439187699,0.22877591312931886,0.09367749419953596,0.8784455357102372,0.16666666666666666,0.07067579555156286,927,5,6245,323,0.9946351931330472,0.04917783191230207,0.5219065125226746,RMSprop_AdvTrain_FGSM,0.01
PGD_ε0.03,0.16613333333333333,0.1094827901488161,0.2286630488406512,0.09257109692396982,0.8782717728505168,0.16613333333333333,0.0701027221930096,927,5,6249,319,0.9946351931330472,0.04856881851400731,0.5216020058235272,RMSprop_AdvTrain_FGSM,0.03
PGD_ε0.05,0.16613333333333333,0.1094827901488161,0.2286630488406512,0.09257109692396982,0.8782717728505168,0.16613333333333333,0.0701027221930096,927,5,6249,319,0.9946351931330472,0.04856881851400731,0.5216020058235272,RMSprop_AdvTrain_FGSM,0.05
PGD_ε0.07,0.16613333333333333,0.1094827901488161,0.2286630488406512,0.09257109692396982,0.8782717728505168,0.16613333333333333,0.0701027221930096,927,5,6249,319,0.9946351931330472,0.04856881851400731,0.5216020058235272,RMSprop_AdvTrain_FGSM,0.07
PGD_ε0.1,0.16613333333333333,0.1094827901488161,0.2286630488406512,0.09257109692396982,0.8782717728505168,0.16613333333333333,0.0701027221930096,927,5,6249,319,0.9946351931330472,0.04856881851400731,0.5216020058235272,RMSprop_AdvTrain_FGSM,0.1
