attack,accuracy,f1_score,f1_real,f1_fake,precision,recall,mcc,true_negatives,false_positives,false_negatives,true_positives,specificity,sensitivity,balanced_accuracy,model,epsilon
Clean,0.8757333333333334,0.8177163112501185,0.0,0.9337503554165482,0.7669088711111112,0.8757333333333334,0.0,0,932,0,6568,0.0,1.0,0.5,RMSprop_AdvTrain_PGD,0.0
FGSM_ε0.01,0.8757333333333334,0.8177163112501185,0.0,0.9337503554165482,0.7669088711111112,0.8757333333333334,0.0,0,932,0,6568,0.0,1.0,0.5,RMSprop_AdvTrain_PGD,0.01
FGSM_ε0.03,0.8757333333333334,0.8177163112501185,0.0,0.9337503554165482,0.7669088711111112,0.8757333333333334,0.0,0,932,0,6568,0.0,1.0,0.5,RMSprop_AdvTrain_PGD,0.03
FGSM_ε0.05,0.8757333333333334,0.8177163112501185,0.0,0.9337503554165482,0.7669088711111112,0.8757333333333334,0.0,0,932,0,6568,0.0,1.0,0.5,RMSprop_AdvTrain_PGD,0.05
FGSM_ε0.07,0.8757333333333334,0.8177163112501185,0.0,0.9337503554165482,0.7669088711111112,0.8757333333333334,0.0,0,932,0,6568,0.0,1.0,0.5,RMSprop_AdvTrain_PGD,0.07
FGSM_ε0.1,0.8757333333333334,0.8177163112501185,0.0,0.9337503554165482,0.7669088711111112,0.8757333333333334,0.0,0,932,0,6568,0.0,1.0,0.5,RMSprop_AdvTrain_PGD,0.1
PGD_ε0.01,0.8757333333333334,0.8177163112501185,0.0,0.9337503554165482,0.7669088711111112,0.8757333333333334,0.0,0,932,0,6568,0.0,1.0,0.5,RMSprop_AdvTrain_PGD,0.01
PGD_ε0.03,0.8757333333333334,0.8177163112501185,0.0,0.9337503554165482,0.7669088711111112,0.8757333333333334,0.0,0,932,0,6568,0.0,1.0,0.5,RMSprop_AdvTrain_PGD,0.03
PGD_ε0.05,0.8757333333333334,0.8177163112501185,0.0,0.9337503554165482,0.7669088711111112,0.8757333333333334,0.0,0,932,0,6568,0.0,1.0,0.5,RMSprop_AdvTrain_PGD,0.05
PGD_ε0.07,0.8757333333333334,0.8177163112501185,0.0,0.9337503554165482,0.7669088711111112,0.8757333333333334,0.0,0,932,0,6568,0.0,1.0,0.5,RMSprop_AdvTrain_PGD,0.07
PGD_ε0.1,0.8757333333333334,0.8177163112501185,0.0,0.9337503554165482,0.7669088711111112,0.8757333333333334,0.0,0,932,0,6568,0.0,1.0,0.5,RMSprop_AdvTrain_PGD,0.1
