attack,accuracy,f1_score,f1_real,f1_fake,precision,recall,mcc,true_negatives,false_positives,false_negatives,true_positives,specificity,sensitivity,balanced_accuracy,model,epsilon
Clean,0.9968,0.9967880936581667,0.987012987012987,0.9981751824817519,0.9967971644903352,0.9968,0.9852363592903908,912,20,4,6564,0.9785407725321889,0.9993909866017052,0.988965879566947,RMSprop_Baseline,0.0
FGSM_ε0.01,0.7593333333333333,0.7992835351412214,0.5056149000273897,0.8409551502335008,0.9162687480943233,0.7593333333333333,0.4919454077016774,923,9,1796,4772,0.990343347639485,0.7265529841656516,0.8584481659025682,RMSprop_Baseline,0.01
FGSM_ε0.03,0.7018666666666666,0.7525833561572313,0.45463414634146343,0.7948623853211009,0.9122915824915825,0.7018666666666666,0.44049706759062196,932,0,2236,4332,1.0,0.6595615103532277,0.8297807551766139,RMSprop_Baseline,0.03
FGSM_ε0.05,0.86,0.8783979826248604,0.6297602256699577,0.9136797106215061,0.9279127498032809,0.86,0.6095797233756358,893,39,1011,5557,0.9581545064377682,0.8460718635809987,0.9021131850093835,RMSprop_Baseline,0.05
FGSM_ε0.07,0.9116,0.9199561526387222,0.7277207392197125,0.9472343812176681,0.9422696895575754,0.9116,0.7060062317695791,886,46,617,5951,0.9506437768240343,0.9060596833130329,0.9283517300685336,RMSprop_Baseline,0.07
FGSM_ε0.1,0.9352,0.939833177064551,0.7845744680851063,0.961864406779661,0.9521323560258597,0.9352,0.7637576324072479,885,47,439,6129,0.9495708154506438,0.9331607795371498,0.9413657974938968,RMSprop_Baseline,0.1
PGD_ε0.01,0.6612,0.7183523344361079,0.4207886938682471,0.7605766512767361,0.9069825768354922,0.6612,0.400295043097206,923,9,2532,4036,0.990343347639485,0.6144945188794153,0.8024189332594501,RMSprop_Baseline,0.01
PGD_ε0.03,0.66,0.7173240581867057,0.41992720655141036,0.7595247076574877,0.9068919791163593,0.66,0.3993134658009049,923,9,2541,4027,0.990343347639485,0.6131242387332522,0.8017337931863686,RMSprop_Baseline,0.03
PGD_ε0.05,0.6597333333333333,0.7171297111002913,0.41841385597082953,0.7595175273275537,0.905709948895483,0.6597333333333333,0.3961315603635787,918,14,2538,4030,0.9849785407725322,0.6135809987819733,0.7992797697772527,RMSprop_Baseline,0.05
PGD_ε0.07,0.6597333333333333,0.7171497584841748,0.41761752624372434,0.7596534187229234,0.9050150967972804,0.6597333333333333,0.3943538490239308,915,17,2535,4033,0.9817596566523605,0.6140377588306942,0.7978987077415274,RMSprop_Baseline,0.07
PGD_ε0.1,0.6597333333333333,0.7171431210659391,0.41788321167883213,0.7596081386586285,0.9052465215406623,0.6597333333333333,0.39494635608002426,916,16,2536,4032,0.9828326180257511,0.6138855054811205,0.7983590617534357,RMSprop_Baseline,0.1
